,SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
28,426155,5714499,Closed,currency 1,-2534,0,-2352.0,-2347.0,,0,38830.5,0.0,0.0,0.0,Consumer credit,-2345,
29,426155,5714500,Closed,currency 1,-845,0,-480.0,-480.0,0.0,0,67500.0,0.0,0.0,0.0,Consumer credit,-480,
30,426155,5714501,Closed,currency 1,-529,0,-343.0,-343.0,0.0,0,182791.44,0.0,0.0,0.0,Consumer credit,-337,
31,136226,5714502,Active,currency 1,-521,0,551.0,,,0,112500.0,0.0,0.0,0.0,Credit card,-30,
32,136226,5714503,Closed,currency 1,-559,0,,-355.0,0.0,0,110250.0,0.0,0.0,0.0,Credit card,-351,
33,400486,5714504,Closed,currency 1,-2413,0,-1864.0,-2128.0,,0,180000.0,0.0,0.0,0.0,Consumer credit,-708,
34,400486,5714506,Active,currency 1,-941,0,-17.0,,,0,40500.0,0.0,0.0,0.0,Credit card,-15,
35,400486,5714507,Closed,currency 1,-1110,0,-745.0,-727.0,,0,114727.5,0.0,0.0,0.0,Consumer credit,-658,
36,400486,5714508,Closed,currency 1,-2133,0,-1038.0,-1127.0,,0,225000.0,0.0,0.0,0.0,Consumer credit,-708,
37,400486,5714509,Active,currency 1,-391,0,705.0,,,0,142290.0,108315.0,0.0,0.0,Consumer credit,-30,
38,435112,5714512,Closed,currency 1,-1412,0,-861.0,-849.0,,0,85288.5,0.0,0.0,0.0,Consumer credit,-753,
39,435112,5714513,Closed,currency 1,-1590,0,-1344.0,-1276.0,,0,100129.5,0.0,0.0,0.0,Consumer credit,-783,
40,435112,5714514,Closed,currency 1,-1181,0,-875.0,-872.0,,0,44419.5,0.0,0.0,0.0,Consumer credit,-872,
41,435112,5714516,Closed,currency 1,-1475,0,-1293.0,-1322.0,,0,21690.0,0.0,,0.0,Consumer credit,-1322,
42,435112,5714517,Closed,currency 1,-1411,0,-861.0,-861.0,,0,85293.0,0.0,,0.0,Consumer credit,-855,
43,435112,5714518,Active,currency 1,-1483,0,,,,0,200250.0,0.0,,0.0,Credit card,-848,
44,435112,5714519,Closed,currency 1,-1589,0,-1344.0,-1292.0,3980.52,0,100129.5,0.0,0.0,0.0,Consumer credit,-736,
45,435112,5714520,Closed,currency 1,-829,0,-508.0,-508.0,0.0,0,159386.085,0.0,0.0,0.0,Consumer credit,-508,
46,435112,5714521,Closed,currency 1,-739,0,-525.0,-525.0,0.0,0,48645.0,0.0,0.0,0.0,Consumer credit,-519,
47,435112,5714522,Active,currency 1,-508,0,1318.0,,0.0,0,1058823.54,858768.57,0.0,0.0,Consumer credit,-7,
48,435112,5714523,Active,currency 1,-416,0,680.0,,0.0,0,256500.0,183528.0,0.0,0.0,Consumer credit,-43,
49,452585,5714524,Closed,currency 1,-2642,0,-2307.0,-2332.0,1800.0,0,15921.0,0.0,0.0,0.0,Consumer credit,-2306,
50,452585,5714525,Active,currency 1,-2538,0,-1427.0,,0.0,0,45000.0,0.0,0.0,0.0,Credit card,-682,
51,452585,5714527,Active,currency 1,-42,0,-26.0,,,0,45000.0,54000.0,0.0,0.0,Consumer credit,-31,
52,452585,5714528,Closed,currency 1,-2898,0,-2722.0,-2344.0,,0,11340.0,,,0.0,Consumer credit,-2344,
53,389599,5714529,Closed,currency 1,-672,0,10285.0,-531.0,,0,135000.0,0.0,0.0,0.0,Credit card,-429,
54,389599,5714530,Closed,currency 1,-1304,0,1253.0,-1287.0,,0,225000.0,0.0,0.0,0.0,Consumer credit,-429,
55,389599,5714531,Closed,currency 1,-1253,0,-887.0,-887.0,,0,43105.5,0.0,0.0,0.0,Consumer credit,-687,
56,389599,5714532,Closed,currency 1,-1130,0,331.0,-858.0,,0,450000.0,0.0,0.0,0.0,Consumer credit,-847,
57,389599,5714533,Active,currency 1,-831,0,277.0,,,0,270000.0,274225.5,0.0,0.0,Credit card,-10,
58,389599,5714534,Active,currency 1,-329,0,1497.0,,,0,589500.0,521478.0,0.0,0.0,Consumer credit,-8,
59,389599,5714536,Closed,currency 1,-700,0,-600.0,-600.0,0.0,0,68715.0,0.0,0.0,0.0,Consumer credit,-596,
