,SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
10,1715995,447712,Cash loans,11368.62,270000.0,335754.0,,270000.0,FRIDAY,7,Y,1,,,,XNA,Approved,-735,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,54.0,low_normal,Cash X-Sell: low,365243.0,-705.0,885.0,-345.0,-334.0,1.0
11,2257824,161140,Cash loans,13832.775,211500.0,246397.5,,211500.0,FRIDAY,10,Y,1,,,,XNA,Approved,-815,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,30.0,middle,Cash X-Sell: middle,365243.0,-785.0,85.0,-725.0,-721.0,1.0
12,2330894,258628,Cash loans,12165.21,148500.0,174361.5,,148500.0,TUESDAY,15,Y,1,,,,XNA,Approved,-860,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,high,Cash X-Sell: high,365243.0,-830.0,-140.0,-200.0,-197.0,1.0
13,1397919,321676,Consumer loans,7654.86,53779.5,57564.0,0.0,53779.5,SUNDAY,15,Y,1,0.0,,,XAP,Approved,-408,Cash through the bank,XAP,Unaccompanied,New,Consumer Electronics,POS,XNA,Country-wide,200,Consumer electronics,8.0,low_action,POS household without interest,365243.0,-378.0,-168.0,-168.0,-163.0,1.0
14,2273188,270658,Consumer loans,9644.22,26550.0,27252.0,0.0,26550.0,SATURDAY,10,Y,1,0.0,,,XAP,Approved,-726,Cash through the bank,XAP,,New,Construction Materials,POS,XNA,Stone,83,Consumer electronics,3.0,middle,POS household with interest,365243.0,-693.0,-633.0,-633.0,-627.0,0.0
15,1232483,151612,Consumer loans,21307.455,126490.5,119853.0,12649.5,126490.5,TUESDAY,7,Y,1,0.1039712869911545,,,XAP,Approved,-699,Cash through the bank,XAP,Unaccompanied,New,Auto Accessories,POS,XNA,Regional / Local,130,Industry,6.0,low_normal,POS other with interest,365243.0,-668.0,-518.0,-518.0,-512.0,0.0
16,2163253,154602,Consumer loans,4187.34,26955.0,27297.0,1350.0,26955.0,SATURDAY,12,Y,1,0.05132379401936423,,,XAP,Approved,-1473,Cash through the bank,XAP,Unaccompanied,Repeater,Photo / Cinema Equipment,POS,XNA,Stone,130,Consumer electronics,8.0,high,POS household with interest,365243.0,-1440.0,-1230.0,-1230.0,-1226.0,0.0
17,1285768,142748,Revolving loans,9000.0,180000.0,180000.0,,180000.0,FRIDAY,13,Y,1,,,,XAP,Approved,-336,XNA,XAP,Unaccompanied,Repeater,XNA,Cards,x-sell,AP+ (Cash loan),6,XNA,0.0,XNA,Card X-Sell,-277.0,-257.0,365243.0,365243.0,365243.0,0.0
18,2393109,396305,Cash loans,10181.7,180000.0,180000.0,,180000.0,THURSDAY,14,Y,1,,,,XNA,Approved,-700,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,AP+ (Cash loan),6,XNA,24.0,low_normal,Cash X-Sell: low,,,,,,
19,1173070,199178,Cash loans,4666.5,45000.0,49455.0,,45000.0,SATURDAY,16,Y,1,,,,Everyday expenses,Refused,-584,XNA,HC,,Repeater,XNA,Cash,walk-in,AP+ (Cash loan),6,XNA,18.0,high,Cash Street: high,,,,,,
20,1506815,166490,Cash loans,25454.025,450000.0,491580.0,,450000.0,MONDAY,6,Y,1,,,,XNA,Refused,-401,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,low_normal,Cash X-Sell: low,,,,,,
21,1182516,267782,Cash loans,20361.6,405000.0,451777.5,,405000.0,SATURDAY,4,Y,1,,,,XNA,Approved,-686,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,30.0,low_normal,Cash X-Sell: low,365243.0,-656.0,214.0,365243.0,365243.0,1.0
22,1172842,302212,Cash loans,,0.0,0.0,,,TUESDAY,9,Y,1,,,,XNA,Refused,-239,XNA,HC,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
23,1172937,302212,Cash loans,39475.305,1129500.0,1277104.5,,1129500.0,THURSDAY,5,Y,1,,,,XNA,Refused,-594,Cash through the bank,HC,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,54.0,low_normal,Cash X-Sell: low,,,,,,
24,1555330,199353,Cash loans,,0.0,0.0,,,SATURDAY,6,Y,1,,,,XNA,Canceled,-202,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
25,1543131,275707,Cash loans,22619.52,229500.0,241920.0,,229500.0,THURSDAY,8,Y,1,,,,XNA,Approved,-370,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,low_normal,Cash X-Sell: low,365243.0,-340.0,-10.0,-10.0,-3.0,1.0
26,2536650,338725,Cash loans,16708.32,369000.0,369000.0,,369000.0,WEDNESDAY,13,Y,1,,,,XNA,Approved,-1487,XNA,XAP,,Repeater,XNA,Cash,x-sell,Country-wide,-1,Consumer electronics,48.0,middle,Cash X-Sell: middle,365243.0,-1457.0,-47.0,-47.0,-41.0,0.0
27,1676258,433469,Cash loans,22242.825,247500.0,268083.0,0.0,247500.0,THURSDAY,14,Y,1,0.0,,,XNA,Approved,-1883,XNA,XAP,,Repeater,XNA,Cash,x-sell,Country-wide,-1,Consumer electronics,18.0,high,Cash X-Sell: high,365243.0,-1853.0,-1343.0,-1343.0,-1334.0,1.0
28,2075578,418383,Consumer loans,7656.705,74610.0,65610.0,9000.0,74610.0,MONDAY,14,Y,1,0.13137405417260664,,,XAP,Approved,-2702,Cash through the bank,XAP,Family,New,Mobile,POS,XNA,Stone,61,Connectivity,12.0,low_normal,POS mobile with interest,365243.0,-2671.0,-2341.0,-2341.0,-2332.0,0.0
29,1583704,315664,Cash loans,,0.0,0.0,,,WEDNESDAY,15,Y,1,,,,XNA,Refused,-430,XNA,HC,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
30,2138466,170289,Consumer loans,3286.485,32562.0,32562.0,0.0,32562.0,FRIDAY,12,Y,1,0.0,0.19691431485889155,0.8673361522198731,XAP,Approved,-307,Cash through the bank,XAP,,Refreshed,Photo / Cinema Equipment,POS,XNA,Country-wide,20,Connectivity,12.0,middle,POS mobile with interest,365243.0,-273.0,57.0,-183.0,-179.0,0.0
31,2191093,182450,Consumer loans,9789.255,100485.0,100485.0,0.0,100485.0,WEDNESDAY,9,Y,1,0.0,,,XAP,Approved,-391,Cash through the bank,XAP,,Refreshed,Computers,POS,XNA,Stone,200,Consumer electronics,12.0,low_normal,POS household with interest,365243.0,-360.0,-30.0,-270.0,-261.0,0.0
32,1471931,257846,Cash loans,,0.0,0.0,,,MONDAY,12,Y,1,,,,XNA,Canceled,-302,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
33,1478703,393511,Cash loans,,0.0,0.0,,,WEDNESDAY,19,Y,1,,,,XNA,Canceled,-152,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
34,1629736,255331,Revolving loans,10125.0,202500.0,202500.0,,202500.0,SATURDAY,14,Y,1,,,,XAP,Approved,-284,XNA,XAP,Unaccompanied,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,-265.0,-234.0,365243.0,365243.0,365243.0,0.0
35,2027074,208000,Consumer loans,12065.535,56655.0,66411.0,0.0,56655.0,SATURDAY,7,Y,1,0.0,,,XAP,Approved,-676,Cash through the bank,XAP,Unaccompanied,Repeater,Audio/Video,POS,XNA,Country-wide,50,Consumer electronics,6.0,middle,POS household with interest,365243.0,-645.0,-495.0,-495.0,-493.0,0.0
36,2766278,178375,Consumer loans,7511.085,32490.0,38380.5,0.0,32490.0,MONDAY,5,Y,1,0.0,,,XAP,Refused,-801,Cash through the bank,LIMIT,"Spouse, partner",Repeater,Consumer Electronics,POS,XNA,Country-wide,50,Consumer electronics,6.0,high,POS household with interest,,,,,,
37,1151694,161591,Consumer loans,39111.075,214380.0,209497.5,13500.0,214380.0,FRIDAY,12,Y,1,0.0659322515845571,,,XAP,Approved,-989,Cash through the bank,XAP,Family,Repeater,Audio/Video,POS,XNA,Country-wide,50,Consumer electronics,6.0,middle,POS household with interest,365243.0,-958.0,-808.0,-808.0,-804.0,0.0
38,1692577,125157,Consumer loans,9946.485,99319.5,109809.0,0.0,99319.5,SATURDAY,9,Y,1,0.0,,,XAP,Approved,-392,XNA,XAP,Unaccompanied,Repeater,Audio/Video,POS,XNA,Regional / Local,136,Consumer electronics,12.0,low_action,POS household without interest,365243.0,-362.0,-32.0,-242.0,-237.0,1.0
39,2740958,281589,Consumer loans,6752.25,35955.0,33115.5,4500.0,35955.0,THURSDAY,9,Y,1,0.13028961707033246,,,XAP,Approved,-983,Cash through the bank,XAP,Unaccompanied,Refreshed,Mobile,POS,XNA,Country-wide,40,Connectivity,6.0,high,POS mobile with interest,365243.0,-952.0,-802.0,-802.0,-783.0,0.0
40,2317570,258076,Consumer loans,4539.285,18360.0,21834.0,0.0,18360.0,WEDNESDAY,10,Y,1,0.0,,,XAP,Approved,-795,Cash through the bank,XAP,Unaccompanied,Repeater,Mobile,POS,XNA,Country-wide,40,Connectivity,6.0,high,POS mobile with interest,365243.0,-764.0,-614.0,-614.0,-609.0,0.0
41,1366380,247572,Consumer loans,,17950.5,17950.5,0.0,17950.5,MONDAY,19,Y,1,0.0,,,XAP,Unused offer,-1141,Cash through the bank,CLIENT,,Repeater,Mobile,XNA,XNA,Country-wide,25,Connectivity,,XNA,POS mobile with interest,,,,,,
42,2319873,188414,Consumer loans,3560.715,71356.5,76410.0,7573.5,71356.5,FRIDAY,17,Y,1,0.09821250602796976,,,XAP,Approved,-2594,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Country-wide,1535,Consumer electronics,24.0,low_action,POS household without interest,365243.0,-2563.0,-1873.0,-1933.0,-1927.0,1.0
43,2057616,304455,Consumer loans,15542.73,129505.5,131112.0,9000.0,129505.5,WEDNESDAY,12,Y,1,0.06995702139587028,,,XAP,Approved,-406,Cash through the bank,XAP,,New,Consumer Electronics,POS,XNA,Country-wide,800,Consumer electronics,10.0,middle,POS household with interest,365243.0,-374.0,-104.0,-104.0,-101.0,0.0
44,2675386,118974,Consumer loans,6899.49,55831.5,60745.5,0.0,55831.5,SUNDAY,13,Y,1,0.0,,,XAP,Approved,-302,Cash through the bank,XAP,Unaccompanied,New,Mobile,POS,XNA,Country-wide,182,Connectivity,10.0,low_normal,POS mobile without interest,365243.0,-272.0,-2.0,365243.0,365243.0,1.0
45,2621158,281470,Revolving loans,14625.0,292500.0,292500.0,,292500.0,FRIDAY,17,Y,1,,,,XAP,Refused,-231,XNA,HC,Unaccompanied,Repeater,XNA,Cards,x-sell,Country-wide,182,Connectivity,0.0,XNA,Card X-Sell,,,,,,
46,2586290,447421,Consumer loans,10274.04,126544.5,101232.0,25312.5,126544.5,SATURDAY,15,Y,1,0.21784916481051048,,,XAP,Approved,-243,Cash through the bank,XAP,Unaccompanied,Repeater,Mobile,POS,XNA,Country-wide,212,Connectivity,12.0,middle,POS mobile with interest,365243.0,-212.0,118.0,-122.0,-116.0,0.0
47,1475738,235737,Cash loans,75897.63,2025000.0,2241513.0,,2025000.0,THURSDAY,19,Y,1,,,,XNA,Approved,-524,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,54.0,low_normal,Cash X-Sell: low,,,,,,
48,2600277,256517,Cash loans,,0.0,0.0,,,FRIDAY,17,Y,1,,,,XNA,Canceled,-218,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
49,1371540,200721,Revolving loans,11250.0,225000.0,225000.0,,225000.0,FRIDAY,15,Y,1,,,,XAP,Approved,-847,XNA,XAP,,Repeater,XNA,Cards,walk-in,Credit and cash offices,-1,XNA,0.0,XNA,Card Street,365243.0,365243.0,365243.0,365243.0,-171.0,0.0
50,2261993,299391,Revolving loans,,0.0,0.0,,,FRIDAY,13,Y,1,,,,XAP,Canceled,-161,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
51,2664403,163660,Cash loans,9804.285,67500.0,82611.0,,67500.0,SATURDAY,10,Y,1,,,,Car repairs,Approved,-766,Cash through the bank,XAP,,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high,365243.0,-736.0,-406.0,-466.0,-464.0,1.0
52,1912041,253391,Cash loans,5294.43,45000.0,47970.0,,45000.0,SUNDAY,17,Y,1,,,,XNA,Refused,-774,Cash through the bank,HC,Unaccompanied,Refreshed,XNA,Cash,x-sell,Regional / Local,333,Consumer electronics,12.0,high,Cash X-Sell: high,,,,,,
53,2609003,371440,Consumer loans,11688.255,93415.5,101637.0,0.0,93415.5,FRIDAY,10,Y,1,0.0,,,XAP,Approved,-598,Cash through the bank,XAP,Unaccompanied,New,Computers,POS,XNA,Regional / Local,333,Consumer electronics,10.0,middle,POS household with interest,365243.0,-567.0,-297.0,-357.0,-344.0,0.0
54,1399859,197343,Consumer loans,4818.78,106398.0,106398.0,0.0,106398.0,SATURDAY,14,Y,1,0.0,,,XAP,Refused,-409,Cash through the bank,LIMIT,,Repeater,Computers,POS,XNA,Country-wide,1000,Consumer electronics,24.0,low_action,POS household without interest,,,,,,
55,2741581,383645,Cash loans,47407.5,450000.0,450000.0,,450000.0,MONDAY,13,Y,1,,,,XNA,Approved,-557,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,middle,Cash X-Sell: middle,365243.0,-527.0,-197.0,-197.0,-194.0,0.0
56,2563201,290976,Cash loans,49299.435,450000.0,504711.0,,450000.0,THURSDAY,15,Y,1,,,,XNA,Approved,-1042,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,low_normal,Cash X-Sell: low,365243.0,-1012.0,-682.0,-742.0,-738.0,1.0
57,2586409,446260,Cash loans,,0.0,0.0,,,THURSDAY,16,Y,1,,,,XNA,Canceled,-209,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
58,1760006,283527,Cash loans,14730.66,72000.0,72000.0,,72000.0,WEDNESDAY,15,Y,1,,,,XNA,Approved,-183,XNA,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Contact center,-1,XNA,6.0,high,Cash X-Sell: high,365243.0,-153.0,-3.0,-3.0,365243.0,0.0
59,2076528,431383,Consumer loans,3725.505,26370.0,29983.5,2637.0,26370.0,SATURDAY,16,Y,1,0.08804073289105706,,,XAP,Approved,-1773,Cash through the bank,XAP,Unaccompanied,New,Mobile,POS,XNA,Country-wide,24,Connectivity,12.0,high,POS mobile with interest,365243.0,-1742.0,-1412.0,-1472.0,-1464.0,0.0
